['定段\t33.77389335616284\n', 14]
['江流儿\t29.827760255414745\n', 30]
['雷凌云\t28.326954853828536\n', 21]
['云子\t28.231464085451435\n', 26]
['雙人圍\t25.322550451659833\n', 12]
['江流\t17.684440134695855\n', 28]
['劫材\t17.635460542859118\n', 11]
['对局者\t17.23174295954707\n', 21]
['唐韋星\t14.678756953271524\n', 8]
['方圓社\t12.458928161513633\n', 39]
['棋鬼王\t11.639643745607373\n', 11]
['定段赛\t11.60481482418406\n', 8]
['轮于\t11.235262464191884\n', 13]
['天元战\t11.020010767046843\n', 11]
['本届\t10.500781220979711\n', 9]
['循环圈\t10.454596039151141\n', 8]
['預選\t10.318280755502213\n', 7]
['齐鲁晚\t10.083823120261227\n', 10]
['本身劫\t10.068343599628644\n', 8]
['碁聖\t9.480074683417948\n', 7]
['强败者\t8.98733668268088\n', 8]
['deepmind\t8.961162865009241\n', 10]
['御城棋\t8.842864894524894\n', 11]
['杯冠军\t8.576798741934919\n', 13]
['時代\t8.489580850575923\n', 10]
['年道\t8.488110262340628\n', 9]
['方胜\t8.459305388487891\n', 14]
['廣島\t8.455967405197772\n', 7]
['上届\t8.455967405197772\n', 6]
['免选\t8.413110262340629\n', 7]
['挑战者\t7.967202117643071\n', 8]
['黑嘉嘉\t7.890481056676411\n', 9]
['淡路修\t7.712158350596804\n', 7]
['天台\t7.491724846862164\n', 8]
['聂卫平\t7.47979743277189\n', 6]
['任中\t7.4413924676285\n', 9]
['山城宏\t7.395789825731539\n', 9]
['等级分\t7.3850600276309\n', 6]
['贴目\t7.352975043336869\n', 6]
['臺北市\t7.2051210257047495\n', 6]
['岩本\t7.0671000738620435\n', 8]
['甘肃\t7.051292216779224\n', 7]
['白昕卉\t7.042795829241532\n', 11]
['張凱馨\t7.003771827646787\n', 8]
['丈和\t6.95720447707545\n', 23]
['晋级\t6.930873942977733\n', 6]
['丹朱\t6.9242072763110665\n', 8]
['瀨越\t6.9242072763110665\n', 6]
['楊子\t6.919762831866621\n', 7]
['因碩\t6.907064419168209\n', 8]
['刘小光\t6.666119494846931\n', 7]
['轮败者\t6.6001236510884524\n', 10]
['1轮\t6.474264026781707\n', 8]
['区\t6.471406979566945\n', 16]
['男子组\t6.3978357625714155\n', 8]
['劫爭\t6.189764697068608\n', 13]
['韩元\t6.1683451861845295\n', 19]
['女子组\t5.97586537641641\n', 9]
['小林觉\t5.516005796925643\n', 9]
['擂台赛\t5.502835758486294\n', 8]
['赛棋手\t5.470938564455519\n', 6]
['黄河杯\t5.455107236535833\n', 8]
['女子棋\t5.435757835745105\n', 7]
['訓練\t5.429439614387081\n', 6]
['楊子萱\t5.397059034163648\n', 6]
['荒木氏\t5.397059034163648\n', 6]
